MAT	B0D	B0G	B0E	B0H	B0J	DHU	DWY	REG
0S	A5	01	0L	EE	A0	02	22	AM
0S	AD	0K	0F	B0	A0	03	22	AM
0S	AD	0K	0F	B0	A0	03	21	AM
0S	AD	0J	0F	B0	A0	03	22	AM
0S	AD	0J	0F	B0	A0	03	21	AM
0S	A5	05	0L	UR	A0	02	38	AM
0S	A5	01	0R	V0	A0	02	38	AM
0S	A5	0K	0R	C0	A0	02	38	AM
0S	A5	0J	0R	C0	A0	02	38	AM
0S	A5	01	0R	C0	A0	02	38	AM
0S	A5	0M	0R	UR	A0	02	38	AM
0S	A5	06	0R	UR	A0	02	38	AM
0S	A5	05	0R	UR	A0	02	38	AM
0S	A5	0K	0R	B0	A0	02	38	AM
0S	A5	0J	0R	B0	A0	02	38	AM
0S	A5	01	0R	B0	A0	02	38	AM
0S	A5	0M	0R	G0	A0	02	38	AM
0S	A5	0K	0R	JR	A0	02	38	AM
0S	A5	01	0R	JR	A0	02	38	AM
0S	A5	0M	0R	GE	A0	02	38	AM
0S	A5	06	0R	GE	A0	02	38	AM
0S	A5	0M	0L	F0	A0	13	38	AM
0S	A5	0K	0P	B0	A0	02	38	AM
0S	A5	0K	0P	B0	A0	02	22	AM
0S	A5	0J	0P	B0	A0	02	38	AM
0S	A5	0J	0P	B0	A0	02	22	AM
0S	A5	01	0P	B0	A0	02	38	AM
0S	A5	01	0P	B0	A0	02	22	AM
0S	A5	01	0R	J0	A0	02	38	AM
0S	A5	0K	0H	B0	D1	02	21	AM
0S	A5	0K	0P	B0	D1	02	38	AM
0S	A5	0K	0P	B0	D1	02	22	AM
0S	A5	01	0P	B0	D1	02	38	AM
0S	A5	01	0P	B0	D1	02	22	AM
0S	A5	01	0R	JG	A0	02	38	AM
0S	A5	0K	0H	C0	A0	02	21	AM
0S	A5	0J	0H	C0	A0	02	21	AM
0S	A5	01	0H	C0	A0	02	21	AM
0S	A5	0K	0H	B0	A0	02	21	AM
0S	A5	0J	0H	B0	A0	02	21	AM
0S	A5	01	0H	B0	A0	02	21	AM
0S	A5	0K	0B	B0	A0	03	21	AM
0S	A5	0J	0B	B0	A0	03	21	AM
0S	A5	0M	0T	GE	A0	13	24	AM
0S	A5	0M	0T	GL	A0	13	24	AM
0S	A5	0M	0L	GL	A0	02	22	AM
0S	A5	06	0L	GL	A0	02	22	AM
0S	A5	0M	0L	GE	A0	02	38	AM
0S	A5	0M	0L	GE	A0	02	22	AM
0S	A5	06	0L	GE	A0	02	38	AM
0S	A5	06	0L	GE	A0	02	22	AM
0S	A5	0F	0Q	M0	A0	02	38	AM
0S	A5	0F	0Q	F0	A0	13	38	AM
0S	A5	0M	0T	UB	A0	13	24	AM
0S	A5	0M	0L	G0	A0	02	38	AM
0S	A5	0M	0L	G0	A0	02	22	AM
0S	A5	0J	0L	J0	A0	02	38	AM
0S	A5	0J	0L	J0	A0	02	22	AM
0S	A5	01	0L	J0	A0	02	38	AM
0S	A5	01	0L	J0	A0	02	22	AM
0S	A5	0M	0T	F0	A0	13	24	AM
0S	A5	0M	0T	UR	A0	13	24	AM
0S	A5	01	0L	V0	A0	02	38	AM
0S	A5	01	0L	V0	A0	02	22	AM
0S	A5	0M	0T	G0	A0	13	24	AM
0S	A5	05	0L	UR	A0	02	22	AM
0S	A5	0F	0K	V0	A0	02	38	AM
0S	A5	0F	0K	UR	A0	02	38	AM
0S	A5	0F	0K	U0	A0	02	38	AM
0S	A5	0F	0K	T0	A0	02	38	AM
0S	A5	0F	0K	M0	A0	02	38	AM
0S	A5	0F	0K	JG	A0	02	38	AM
0S	A5	0F	0K	EE	A0	02	38	AM
0S	A5	0F	0K	C0	A0	02	38	AM
0S	A5	0F	0K	B0	A0	02	38	AM
0S	A5	0F	0K	F0	A0	13	38	AM
0S	A5	0F	0M	V0	A0	02	22	AM
0S	A5	0F	0M	M0	A0	02	22	AM
0S	A5	0F	0M	JG	A0	02	22	AM
0S	A5	0K	0F	B0	A0	03	21	AM
0S	A5	0J	0F	B0	A0	03	21	AM
0S	A5	05	0F	EE	A0	03	21	AM
0S	A5	05	0H	E0	A0	02	21	AM
0S	A5	0K	0A	B0	A0	03	21	AM
0S	A5	0J	0A	B0	A0	03	21	AM
0S	A5	01	0A	B0	A0	03	21	AM
0S	A5	0F	0J	V0	A0	02	21	AM
0S	A5	0F	0J	U0	A0	02	21	AM
0S	A5	0F	0J	T0	A0	02	21	AM
0S	A5	0F	0J	M0	A0	02	21	AM
0S	A5	0F	0J	JG	A0	02	21	AM
0S	A5	0F	0J	C0	A0	02	21	AM
0S	A5	0F	0J	B0	A0	02	21	AM
0S	A5	0F	0J	B0	01	02	21	AM
0S	A5	0J	0H	B0	01	02	21	AM
0S	AD	0K	0H	B0	A0	02	22	AM
0S	AD	0K	0H	B0	A0	02	21	AM
0S	AD	0J	0H	B0	A0	02	22	AM
0S	AD	0J	0H	B0	A0	02	21	AM
0S	A5	0F	0Q	V0	A0	02	38	AM
0S	A5	0F	0Q	V0	A0	02	22	AM
0S	A5	0F	0Q	U0	A0	02	38	AM
0S	A5	0F	0Q	U0	A0	02	22	AM
0S	A5	0F	0Q	T0	A0	02	38	AM
0S	A5	0F	0Q	T0	A0	02	22	AM
0S	A5	0F	0Q	JG	A0	02	38	AM
0S	A5	0F	0Q	JG	A0	02	22	AM
0S	A5	0F	0Q	C0	A0	02	38	AM
0S	A5	0F	0Q	C0	A0	02	22	AM
0S	A5	0F	0Q	B0	A0	02	38	AM
0S	A5	0F	0Q	B0	A0	02	22	AM
0S	A5	01	0L	JG	A0	02	22	AM
0S	A5	0J	0L	JG	A0	02	22	AM
0S	A5	0K	0T	B0	A0	13	24	AM
0S	A5	01	0T	B0	A0	13	24	AM
