MAT	B0F	B0E	B0H	DMI	DZH	REG
0S	ES	0J	M0	00	HU	AM
0S	ES	0J	JG	00	HU	AM
0S	ES	0J	C0	00	HU	AM
0S	ES	0J	B0	00	HU	AM
0S	ZI	0J	B0	00	HU	AM
0S	MU	0R	UR	00	JC	AM
0S	MU	0R	GE	00	JC	AM
0S	LY	0R	GE	00	JC	AM
0S	PR	0R	UR	00	JC	AM
0S	PR	0R	UR	00	JA	AM
0S	MT	0R	V0	00	JC	AM
